 Marketcap ,Unlevered.Free.Cash.Flow
118,-4.71047
521,-227.80988
966,-43.0035
540,15.499
393,18.89575
136,-48.53085
225,28.89424
409,-4.21625
"3,254",185.1125
72,0
172,130.419
"24,592",0
"13,149",0
"1,251",0
"1,436",0
"1,383",19.89375
"8,777",337.66113
103,-5.1276
203,-1.05336
192,-1.05336
465,-11.26363
"9,707",-6.35275
"3,183",26.19738
"2,363",26.19738
"1,104",-1.52675
133,4.9218
85,-18.28949
85,-18.28949
85,-18.28949
85,-18.28949
"1,575",198.48213
"13,426",-6607.556
498,0
"1,394",92.00525
"1,190",-11.90538
"3,504",62.649
"65,534",4661.25
233,0
242,27.12485
254,27.12485
95,-4.31413
"1,337",51.49425
"2,920",81.97613
"10,306",151.773
"2,903",24.32575
"7,317",797.77825
"6,574",478.124
"6,360",478.124
"6,574",478.124
"11,400",71.85688
"13,899",71.85688
"19,867",757.025
"6,819",611.625
468,1.98857
"2,707",56.838
"3,082",-34.73075
743,11.6255
739,11.6255
105,2.80919
811,-47.85441
"9,161",0
"12,754",410.875
246,-30.20063
281,0.91475
227,-21.78313
115,-45.35475
263,0
"3,418",113.91588
"4,609",105.83338
"6,814",869.225
359,-55.957
"3,715",52.73913
549,70.83988
583,0
544,0
"4,697",122.89375
"2,414",26.84148
"241,624",23862.5
166,-7.46175
"6,019",-1529.8815
"4,538",-1529.8815
"15,516",0
159,-26.57779
"5,072",500.5
111,33.58573
242,-4.05488
152,-6.71225
487,-7.96042
148,-3.43152
63,-14.78633
"10,108",350.62563
"9,182",350.62563
142,21.3255
403,14.4455
918,-51.01875
238,-7.99862
"1,858",-229.80482
2,-229.80482
"3,543",31.2465
"4,775",83.02313
266,1.578
"1,104",56.23413
460,16.15813
"1,661",379.66425
"2,926",226.2035
"2,960",-145.4285
408,-25.64638
369,-57.5455
760,-57.5455
"2,586",217.01075
"3,487",-613.04738
962,2137.93738
225,2.69034
"1,723",8.8355
568,-37.50675
226,-30.3197
"1,151",0
93,-257.34725
155,-257.34725
403,-11.24788
105,-21.67138
398,16.39863
411,0
862,-14.83963
756,-14.83963
679,-14.83963
755,-14.83963
288,-9.65663
"1,430",14.23575
"4,198",15.60688
"2,091",15.60688
56,-9.89957
13,0
27,431.11313
87,-10.14525
135,-0.89901
110,-1.61801
"2,184",-4.7602
"2,609",22.91488
"154,623",-26342.404
206,0
332,-10.29088
944,-34.44963
29,-120.3565
"19,770",0
147,1.04995
"2,945",75.46725
"16,380",2650.7625
"1,096",-31.31212
"1,085",-31.31212
638,-31.31212
928,-31.31212
689,0
215,0
"2,852",-469.4605
166,-8.52744
260,-9.20798
"1,156",96.2385
215,-3.14325
273,0
294,0
34,-0.26199
467,-8.41938
"25,627",-1429.75
"3,435",210.05825
"2,642",210.05825
"3,796",261.77438
"3,353",261.77438
"2,352",59.193
"2,103",59.193
"2,064",157.87775
"2,978",157.87775
"1,486",-1949.419
238,10.59238
"4,055",-69.7265
130,0.53127
"2,049",-29.34413
"2,915",-48.56425
88,6.50113
312,167.34888
"202,639",1940.75
414,-1.99011
143,-2.30734
374,29.48075
385,29.48075
35,0.79945
90,-4.39113
881,-21.35675
377,0
444,0
"7,108",210.71813
"235,206",10864.625
759,-32.28825
135,-26.30247
303,-0.74013
"1,023",-32.49613
905,-42.61854
"61,751",0
35,0
"2,072",0
66,-23.35887
86,-23.35887
