"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7203.7493571492,890.220706458738,8.09209368517771,1.97127757510531e-15
"2","total6$Unlevered.Free.Cash.Flow",0.257266376781629,0.0659463001051524,3.90114951667362,0.000103136094220665
"3","total6$norm_working_capital",-21.690434907502,22.9620234748034,-0.944622103156687,0.345114700606573
"4","total6$cash_normalized",17.723029895006,38.4344098373424,0.461124028442516,0.644825144246056
"5","total6$net_income_normalized",18.0963685031399,24.163374055507,0.748917285374543,0.454109955664851
